variable	relative_importance	scaled_importance	percentage
payment_type	128445656.0	1.0	0.4321
fare_amount	120847024.0	0.9408	0.4065
trip_distance	22905960.0	0.1783	0.0771
RatecodeID	10922781.0	0.0850	0.0367
DOLocationID	6213818.5000	0.0484	0.0209
tolls_amount	4469460.0	0.0348	0.0150
PULocationID	3083424.2500	0.0240	0.0104
extra	167375.0938	0.0013	0.0006
dropoff_time_cos	77236.8516	0.0006	0.0003
pickup_day_sin	51103.6992	0.0004	0.0002
pickup_time_sin	28841.0938	0.0002	0.0001
VendorID	18050.4824	0.0001	0.0001
dropoff_time_sin	8678.8760	0.0001	0.0
pickup_time_cos	7276.6245	0.0001	0.0
mta_tax	2384.4404	0.0	0.0
tpep_dropoff_datetime	2327.0403	0.0	0.0
tpep_pickup_datetime	398.1155	0.0	0.0
passenger_count	90.3652	0.0	0.0
Longitude_DO	2.4486	0.0	0.0
borough_DO	2.1553	0.0	0.0
Latitude_DO	0.6229	0.0	0.0
store_and_fwd_flag	0.0207	0.0	0.0
borough_orig	0.0007	0.0	0.0
Longitude_orig	0.0005	0.0	0.0
improvement_surcharge	0	0	0
pickup_day_cos	0	0	0
pickup_month_sin	0	0	0
pickup_month_cos	0	0	0
Latitude_orig	0	0	0
